Team,Opp,Date,Type,Player,Timer,x1,y1,x2,y2
BAR,MLG,21.02.2015,CF-O,,2-93,328,288.17,307.2,219.09
BAR,MLG,21.02.2015,CF-O,,2-83,539.12,314.86,441.36,118.496
BAR,GRA,28.02.2015,CF-G,Rakitic,1-24,400.8,244.21,422.64,145.705
BAR,GRA,28.02.2015,CF-G,Suárez,2-47,449.68,325.85,401.84,157.941
BAR,GRA,28.02.2015,CF-G,Messi,2-69,389.36,291.31,384.16,157.941
BAR,GRA,28.02.2015,CF-S,,1-45,372.72,241.07,372.72,217.52
BAR,GRA,28.02.2015,CF-S,,2-87,374.8,294.45,417.44,211.24
BAR,GRA,28.02.2015,CF-S,,2-86,466.32,208.1,423.68,168.85
BAR,RVA,08.03.2015,GF,Suárez,1-5,165.76,325.85,339.44,132.503
BAR,RVA,08.03.2015,CF-G,Piqué,2-48,372.72,204.96,356.08,157.941
BAR,RVA,08.03.2015,CF-G,Messi,2-55,380,341.55,421.6,160.034
BAR,RVA,08.03.2015,CF-G,Messi,2-62,391.44,241.07,397.68,158.907
BAR,RVA,08.03.2015,CF-G,Messi,2-67,291.6,204.96,396.64,160.034
BAR,RVA,08.03.2015,CF-G,Suárez,2-90,500.64,214.38,399.76,157.941
BAR,RVA,08.03.2015,CF-O,,2-86,479.84,167.28,443.44,151.984
BAR,RVA,08.03.2015,CF-O,,1-20,269.76,328.99,475.68,158.746
BAR,RVA,08.03.2015,CF-S,,2-82,440.32,407.49,387.28,233.22
BAR,EIB,14.03.2015,GF,Messi,2-54,421.6,341.55,347.76,149.73
BAR,EIB,14.03.2015,CF-G,Messi,1-30,380,341.55,423.68,121.233
BAR,EIB,14.03.2015,CF-S,,2-51,493.36,203.39,471.52,190.83
BAR,RMA,22.03.2015,GF,Mathieu,1-18,359.2,283.46,417.44,153.916
BAR,RMA,22.03.2015,GF,Suárez,2-55,552.64,349.4,339.44,158.907
BAR,RMA,22.03.2015,CF-S,,1-30,352.96,233.22,380,164.14
BAR,RMA,22.03.2015,CF-S,,2-85,308.24,349.4,319.68,280.32
BAR,CEL,05.04.2015,CF-G,Mathieu,2-72,447.6,192.4,424.72,102.879
BAR,CEL,05.04.2015,CF-O,,2-61,446.56,355.68,482.96,154.238
BAR,CEL,05.04.2015,CF-O,,2-90,316.56,335.27,380,85.008
BAR,ALM,08.04.2015,GF,Suárez,2-92,419.52,256.77,348.8,157.941
BAR,ALM,08.04.2015,CF-G,Messi,1-32,585.92,383.94,334.24,145.705
BAR,ALM,08.04.2015,CF-G,Suárez,2-54,518.32,376.09,333.2,117.208
BAR,ALM,08.04.2015,CF-G,Bartra,2-74,412.24,286.6,333.2,141.68
BAR,SEV,11.04.2015,GF,Messi,1-13,494.4,355.68,333.2,138.621
BAR,SEV,11.04.2015,GF,Santos Júnior,1-30,164.72,449.88,334.24,116.242
BAR,SEV,11.04.2015,CF-O,,1-32,227.12,220.66,309.28,107.387
BAR,SEV,11.04.2015,CF-O,,2-49,250,339.98,372.72,13.363
BAR,SEV,11.04.2015,CF-S,,2-49,259.36,270.9,270.8,253.63
BAR,VAL,18.04.2015,CF-G,Suárez,1-0,484,297.59,360.24,160.034
BAR,VAL,18.04.2015,CF-G,Messi,2-93,382.08,292.88,384.16,158.907
BAR,VAL,18.04.2015,CF-O,,1-39,462.16,281.89,458,151.984
BAR,VAL,18.04.2015,CF-S,,2-93,366.48,376.09,370.64,322.71
BAR,ESP,25.04.2015,CF-G,Santos Júnior,1-16,402.88,292.88,375.84,160.034
BAR,ESP,25.04.2015,CF-G,Messi,1-24,308.24,198.68,397.68,157.941
BAR,ESP,25.04.2015,CF-O,,2-62,364.4,278.75,419.52,71.484
BAR,ESP,25.04.2015,CF-O,,1-10,368.56,308.58,387.28,80.5
BAR,ESP,25.04.2015,CF-S,,1-5,453.84,241.07,421.6,189.26
BAR,ESP,25.04.2015,CF-S,,2-50,215.68,291.31,265.6,236.36
BAR,GET,28.04.2015,GF,Messi,1-8,380,341.55,389.36,138.621
BAR,GET,28.04.2015,GF,Santos Júnior,1-27,316.56,341.55,350.88,160.034
BAR,GET,28.04.2015,CF-G,Suárez,1-24,455.92,318,425.76,128.317
BAR,GET,28.04.2015,CF-G,Hernández,1-29,194.88,473.43,426.8,124.292
BAR,GET,28.04.2015,CF-G,Suárez,1-39,186.56,420.05,424.72,140.553
BAR,GET,28.04.2015,CF-G,Messi,2-46,569.28,328.99,333.2,110.124
BAR,GET,28.04.2015,CF-S,,2-71,222.96,219.09,342.56,164.14
BAR,COR,02.05.2015,GF,Messi,2-45,404.96,355.68,340.48,153.916
BAR,COR,02.05.2015,GF,Suárez,2-52,432,278.75,331.12,133.469
BAR,COR,02.05.2015,GF,Piqué,2-64,344.64,314.86,410.16,151.823
BAR,COR,02.05.2015,CF-G,Rakitic,1-41,263.52,291.31,360.24,113.183
BAR,COR,02.05.2015,CF-G,Suárez,1-46,418.48,278.75,399.76,158.907
BAR,COR,02.05.2015,CF-G,Messi,2-79,350.88,222.23,378.96,160.034
BAR,COR,02.05.2015,CF-G,Santos Júnior,2-84,380,341.55,411.2,160.034
BAR,COR,02.05.2015,CF-G,Suárez,2-87,443.44,283.46,409.12,160.034
BAR,COR,02.05.2015,CF-O,,1-2,359.2,267.76,401.84,71.484
BAR,COR,02.05.2015,CF-O,,1-36,364.4,288.17,434.08,156.975
BAR,COR,02.05.2015,CF-O,,2-77,386.24,291.31,298.88,143.129
BAR,COR,02.05.2015,CF-O,,2-59,350.88,261.48,306.16,143.129
BAR,COR,02.05.2015,CF-S,,1-26,395.6,346.26,389.36,220.66
