Team,Opp,Date,Type,Player,Timer,x1,y1,x2,y2
CHE,SUN,24.05.2015,G,Remy,2-69,406,478.14,347.76,160.034
CHE,SUN,24.05.2015,CG,Remy,2-87,357.12,231.65,337.36,160.034
CHE,SUN,24.05.2015,CG,Da Silva Costa,1-36,380,341.55,341.52,157.941
MCI,NEW,17.08.2014,CG,Silva,1-37,250,314.86,369.6,158.907
MCI,NEW,17.08.2014,CG,Agüero,2-91,218.8,234.79,415.36,150.857
MCI,NEW,17.08.2014,CS,,1-2,437.2,303.87,412.24,259.91
MCI,LIV,25.08.2014,CG,Jovetic,1-40,558.88,270.9,400.8,108.997
MCI,LIV,25.08.2014,CG,Jovetic,2-54,289.52,328.99,358.16,130.41
MCI,LIV,25.08.2014,CG,Agüero,2-68,563.04,319.57,418.48,160.034
MCI,STK,30.08.2014,,,,,,,
MCI,ARS,13.09.2014,CG,Agüero,1-27,427.84,292.88,419.52,155.848
MCI,ARS,13.09.2014,G,Demichelis,2-82,355.04,303.87,424.72,127.351
MCI,ARS,13.09.2014,CO,,2-58,243.76,311.72,468.4,156.492
MCI,ARS,13.09.2014,CS,,1-31,502.72,241.07,459.04,198.68
MCI,ARS,13.09.2014,CS,,2-93,445.52,330.56,400.8,237.93
MCI,CHE,21.09.2014,CG,Lampard,2-84,313.44,332.13,345.68,150.857
MCI,HUL,27.09.2014,CG,Agüero,1-6,501.68,281.89,335.28,154.882
MCI,HUL,27.09.2014,G,Dzeko,1-10,148.08,438.89,408.08,112.056
MCI,HUL,27.09.2014,G,Dzeko,2-67,201.12,318,418.48,158.907
MCI,HUL,27.09.2014,CG,Lampard,2-86,429.92,294.45,380,133.469
MCI,AST,04.10.2014,G,Touré,2-81,295.76,460.87,343.6,154.882
MCI,AST,04.10.2014,G,Agüero,2-87,419.52,442.03,419.52,140.553
MCI,AST,04.10.2014,CS,,2-47,407.04,357.25,363.36,200.25
MCI,AST,04.10.2014,CO,,2-46,283.28,333.7,434.08,153.916
MCI,TOT,18.10.2014,G,Agüero,1-12,203.2,325.85,417.44,147.798
MCI,TOT,18.10.2014,CG,Agüero,1-19,380,341.55,333.2,149.73
MCI,TOT,18.10.2014,CG,Agüero,2-67,380,341.55,336.32,145.705
MCI,TOT,18.10.2014,G,Agüero,2-74,544.32,346.26,335.28,158.907
MCI,TOT,18.10.2014,CO,,1-31,409.12,302.3,411.2,82.754
MCI,TOT,18.10.2014,CS,,1-32,521.44,237.93,442.4,190.83
MCI,TOT,18.10.2014,CS,,1-31,380,341.55,391.44,184.55
MCI,WHU,25.10.2014,G,Silva,2-76,537.04,383.94,335.28,140.553
MCI,WHU,25.10.2014,CS,,2-59,185.52,267.76,338.4,198.68
MCI,WHU,25.10.2014,CS,,2-64,415.36,267.76,412.24,164.14
MCI,WHU,25.10.2014,CO,,2-64,402.88,263.05,401.84,95.795
MCI,MUN,02.11.2014,CG,Agüero,2-62,294.72,296.02,385.2,125.258
MCI,MUN,02.11.2014,CO,,2-90,378.96,270.9,343.6,73.738
MCI,MUN,02.11.2014,CS,,1-20,409.12,294.45,402.88,266.19
MCI,MUN,02.11.2014,CS,,1-20,464.24,285.03,406,186.12
MCI,QPR,08.11.2014,G,Agüero,1-31,286.4,288.17,347.76,154.882
MCI,QPR,08.11.2014,CG,Agüero,2-82,445.52,297.59,340.48,134.435
MCI,SWA,22.11.2014,CG,Jovetic,1-18,415.36,223.8,367.52,146.671
MCI,SWA,22.11.2014,CG,Touré,2-61,488.16,236.36,387.28,158.907
MCI,SOU,30.11.2014,G,Touré,2-50,316.56,493.84,361.28,156.975
MCI,SOU,30.11.2014,G,Lampard,2-79,350.88,440.46,339.44,155.848
MCI,SOU,30.11.2014,CG,Clichy,2-87,461.12,264.62,335.28,104.972
MCI,SOU,30.11.2014,CS,,2-83,471.52,344.69,462.16,328.99
MCI,SOU,30.11.2014,CO,,2-68,419.52,198.68,397.68,55.867
MCI,SUN,03.12.2014,G,Agüero,1-20,544.32,393.36,417.44,131.376
MCI,SUN,03.12.2014,G,Jovetic,1-38,320.72,352.54,374.8,156.975
MCI,SUN,03.12.2014,CG,Zabaleta,2-54,512.08,236.36,333.2,146.671
MCI,SUN,03.12.2014,G,Agüero,2-70,442.4,311.72,424.72,154.882
MCI,EVE,06.12.2014,CG,Touré,1-23,380,341.55,333.2,152.789
MCI,EVE,06.12.2014,CO,,2-77,314.48,336.84,269.76,33.488
MCI,EVE,06.12.2014,CS,,2-49,320.72,311.72,361.28,170.42
MCI,LEI,13.12.2014,CG,Lampard,1-39,324.88,256.77,399.76,160.034
MCI,CRY,20.12.2014,G,Silva,2-48,471.52,357.25,345.68,149.73
MCI,CRY,20.12.2014,G,Silva,2-60,314.48,291.31,393.52,155.848
MCI,CRY,20.12.2014,G,Touré,2-80,245.84,310.15,335.28,112.056
MCI,CRY,20.12.2014,CO,,1-42,466.32,281.89,309.28,149.891
MCI,WBA,26.12.2014,G,Reges,1-7,350.88,189.26,386.24,139.587
MCI,WBA,26.12.2014,CG,Touré,1-12,380,341.55,332.16,151.823
MCI,WBA,26.12.2014,G,Silva,1-33,494.4,324.28,342.56,157.941
MCI,WBA,26.12.2014,CS,,1-6,417.44,223.8,412.24,179.84
MCI,BUR,28.12.2014,G,Silva,1-22,486.08,302.3,418.48,160.034
MCI,BUR,28.12.2014,G,Luiz Ros,1-33,342.56,492.27,420.56,104.006
MCI,BUR,28.12.2014,CO,,1-12,449.68,230.08,412.24,44.758
MCI,SUN,01.01.2015,G,Touré,2-56,284.32,509.54,351.92,101.913
MCI,SUN,01.01.2015,CG,Jovetic,2-65,308.24,223.8,385.2,155.848
MCI,SUN,01.01.2015,G,Lampard,2-72,348.8,325.85,334.24,150.857
MCI,SUN,01.01.2015,CO,,2-68,577.6,231.65,438.24,158.907
MCI,SUN,01.01.2015,CS,,2-81,544.32,283.46,487.12,220.66
MCI,SUN,01.01.2015,CS,,2-85,425.76,335.27,400.8,200.25
MCI,SUN,01.01.2015,CS,,2-92,340.48,355.68,402.88,231.65
MCI,EVE,10.01.2015,CG,Luiz Rosa,2-73,359.2,219.09,332.16,145.705
MCI,ARS,18.01.2015,,,,,,,
MCI,CHE,31.01.2015,CG,Silva,1-44,413.28,239.5,404.96,157.941
MCI,HUL,07.02.2015,G,Milner,2-91,476.72,536.23,423.68,131.376
MCI,STK,11.02.2015,G,Agüero,1-32,597.36,324.28,344.64,156.975
MCI,STK,11.02.2015,CG,Milner,2-54,425.76,313.29,339.44,147.798
MCI,STK,11.02.2015,CG,Agüero,2-69,381.04,339.98,412.24,146.671
MCI,STK,11.02.2015,G,Nasri,2-75,352.96,442.03,332.16,147.798
MCI,STK,11.02.2015,CO,,1-44,427.84,272.47,286.4,158.746
MCI,NEW,21.02.2015,CG,Agüero,1-1,380,341.55,413.28,160.034
MCI,NEW,21.02.2015,CG,Nasri,1-11,336.32,292.88,348.8,107.065
MCI,NEW,21.02.2015,CG,Dzeko,1-20,432,294.45,365.44,129.444
MCI,NEW,21.02.2015,CG,Silva,2-50,417.44,324.28,333.2,156.975
MCI,NEW,21.02.2015,G,Silva,2-52,235.44,445.17,426.8,160.034
MCI,NEW,21.02.2015,CS,,2-71,348.8,382.37,351.92,347.83
MCI,NEW,21.02.2015,CS,,2-75,398.72,442.03,400.8,327.42
MCI,LIV,01.03.2015,CG,Dzeko,1-24,455.92,336.84,355.04,157.941
MCI,LIV,01.03.2015,CO,,2-45,391.44,275.61,412.24,80.5
MCI,LEI,04.03.2015,CG,Silva,1-46,412.24,198.68,421.6,158.907
MCI,LEI,04.03.2015,CG,Milner,2-87,393.52,277.18,361.28,154.882
MCI,LEI,04.03.2015,CO,,1-41,318.64,292.88,302,91.609
MCI,BUR,14.03.2015,CO,,2-80,318.64,277.18,394.56,55.867
MCI,WBA,21.03.2015,CG,Bony,1-26,336.32,291.31,348.8,108.997
MCI,WBA,21.03.2015,CG,Reges,1-39,421.6,228.51,423.68,158.907
MCI,WBA,21.03.2015,CG,Silva,2-76,336.32,231.65,345.68,160.034
MCI,WBA,21.03.2015,CS,,2-54,402.88,189.26,403.92,171.99
MCI,CRY,06.04.2015,G,Touré,2-77,544.32,457.73,338.4,149.73
MCI,MUN,12.04.2015,CG,Agüero,1-7,393.52,201.82,375.84,152.789
MCI,MUN,12.04.2015,CG,Agüero,2-88,433.04,303.87,335.28,151.823
MCI,WHU,19.04.2015,CG,Agüero,1-35,445.52,303.87,391.44,158.907
MCI,WHU,19.04.2015,CB,,2-48,247.92,281.89,258.32,259.91
MCI,AST,25.04.2015,CG,Agüero,1-2,324.88,294.45,364.4,158.907
MCI,AST,25.04.2015,G,Kolarov,2-65,228.16,556.64,337.36,148.764
MCI,AST,25.04.2015,G,Luiz Rosa,2-88,435.12,266.19,369.6,155.848
MCI,AST,25.04.2015,CO,,1-16,423.68,297.59,282.24,147.637
MCI,TOT,03.05.2015,CG,Agüero,1-28,539.12,283.46,418.48,107.065
MCI,TOT,03.05.2015,CO,,2-61,295.76,228.51,289.52,131.859
MCI,QPR,10.05.2015,CG,Agüero,1-3,310.32,283.46,375.84,153.916
MCI,QPR,10.05.2015,G,Kolarov,1-31,332.16,528.38,347.76,154.882
MCI,QPR,10.05.2015,CG,Agüero,2-49,383.12,434.18,407.04,160.034
MCI,QPR,10.05.2015,CG,Agüero,2-64,380,341.55,343.6,135.562
MCI,QPR,10.05.2015,CG,Milner,2-69,336.32,178.27,360.24,158.907
MCI,QPR,10.05.2015,CG,Silva,2-86,433.04,225.37,413.28,155.848
MCI,QPR,10.05.2015,CO,,1-15,464.24,198.68,417.44,204.96
MCI,QPR,10.05.2015,CS,,2-60,421.6,388.65,391.44,266.19
MCI,SWA,17.05.2015,G,Touré,1-20,533.92,390.22,417.44,130.41
MCI,SWA,17.05.2015,CG,Milner,1-35,211.52,291.31,421.6,158.907
MCI,SWA,17.05.2015,G,Touré,2-73,565.12,438.89,408.08,147.798
MCI,SWA,17.05.2015,G,Bony,2-91,427.84,396.5,422.64,158.907
MCI,SWA,17.05.2015,CS,,2-66,332.16,226.94,342.56,200.25
MCI,SOU,24.05.2015,G,Lampard,1-30,402.88,302.3,382.08,105.938
MCI,SOU,24.05.2015,CG,Agüero,2-87,400.8,178.27,402.88,148.764
