Team,Opp,Date,Type,Player,Timer,x1,y1,x2,y2
CAR,SAM,23.08.2015,CO,Andrea Lazzari,1-38,404.96,267.76,477.76,131.859
CAR,SAM,23.08.2015,CO,Igor Bubnjic,2-61,458,178.27,443.44,149.891
CAR,SAM,23.08.2015,CS,Andrea Lazzari,2-92,380,341.55,356.08,170.42
CAR,SAM,23.08.2015,G,Andrea Lazzari,1-37,387.28,409.06,337.36,157.941
CAR,SAM,23.08.2015,G,Ryder Matos,2-87,560.96,454.59,333.2,121.233
SAS,NAP,23.08.2015,CG,Antonio Floro Flores,1-31,346.72,281.89,425.76,156.975
SAS,NAP,23.08.2015,CS,Gregoire Defrel,1-39,364.4,319.57,380,176.7
SAS,NAP,23.08.2015,CG,Nicola Sansone,2-83,340.48,201.82,343.6,148.764
NAP,SAS,23.08.2015,CG,Marek Hamsik,1-2,448.64,233.22,385.2,160.034
SAS,BOL,29.08.2015,CG,Antonio Floro Flores,2-85,502.72,292.88,351.92,154.882
MIL,EMP,29.08.2015,CG,Carlos Bacca,1-15,539.12,259.91,394.56,158.907
MIL,EMP,29.08.2015,CG,Luiz Adriano,2-68,392.48,256.77,416.4,120.75
EMP,MIL,29.08.2015,CG,"Riccardo Saponara",1-19,241.68,308.58,375.84,153.916
ROM,JUV,30.08.2015,CG,Edin Dzeko,2-78,425.76,266.19,422.64,154.882
ROM,JUV,30.08.2015,G,Miralem Pjanic,2-60,207.36,498.55,348.8,124.292
JUV,ROM,30.08.2015,CG,Paulo Dybala,2-86,352.96,292.88,418.48,126.385
ATA,FRO,30.08.2015,CS,Mauricio Pinilla,1-8,380,341.55,359.2,179.84
ATA,FRO,30.08.2015,CS,Boukary Dramé,1-17,269.76,286.6,347.76,162.57
ATA,FRO,30.08.2015,CG,Guglielmo Stendardo,1-20,401.84,237.93,419.52,154.882
ATA,FRO,30.08.2015,CS,Maximiliano Moralez,2-49,574.48,275.61,424.72,168.85
ATA,FRO,30.08.2015,CS,Maximiliano Moralez,2-59,395.6,412.2,382.08,195.54
ATA,FRO,30.08.2015,G,Alejandro Gomez,2-68,393.52,570.77,334.24,132.503
FRO,ATA,30.08.2015,CO,Leonardo Blanchard,2-53,374.8,241.07,348.8,51.359
